A,B,C,D
61,37,48,y
19,26,38,x
57,50,42,y
91,73,36,x
84,37,90,z
26,3,10,z
20,59,69,y
22,87,12,y
12,49,42,y
19,82,61,y
62,55,19,z
10,10,68,y
42,96,72,x
35,47,82,x
32,35,55,y
91,3,83,z
14,34,85,x
92,17,67,z
45,4,33,z
10,85,7,x
24,44,93,x
85,80,8,x
89,37,84,z
27,19,26,x
94,95,83,z
81,8,72,y
74,46,81,x
26,70,73,y
92,75,18,y
73,44,54,y
4,51,28,y
72,82,52,x
50,59,8,y
74,29,64,x
83,50,58,x
15,85,53,x
40,89,52,y
79,32,35,z
4,37,74,y
4,90,86,y
51,38,47,x
66,6,18,z
95,93,91,y
41,68,4,z
36,80,53,z
35,93,19,y
66,86,95,z
24,35,75,x
68,70,50,x
89,16,88,z
5,79,47,y
18,39,48,y
38,32,29,y
85,21,88,z
94,11,37,z
80,55,92,y
74,64,32,y
11,35,68,z
68,11,38,x
73,42,8,y
12,65,57,z
73,81,50,x
72,82,4,z
86,29,26,z
98,52,47,z
82,29,63,x
57,44,41,x
41,19,41,y
57,22,59,y
84,90,70,x
48,34,32,z
17,42,73,x
21,4,80,z
75,3,41,z
95,42,55,x
36,38,45,z
31,93,76,x
12,42,69,z
42,80,35,y
5,6,67,x
69,61,6,x
21,71,78,z
27,76,76,y
22,68,51,z
42,12,81,z
2,26,42,z
17,94,55,x
83,96,50,x
98,78,61,x
92,63,28,y
45,33,64,x
74,27,34,x
67,18,50,z
14,83,37,y
34,85,94,x
20,5,43,z
49,40,10,y
96,56,87,z
99,71,95,x
22,76,77,z
68,58,66,z
52,50,20,y
51,39,54,y
90,98,59,y
96,25,17,y
84,92,11,y
93,89,20,z
49,93,60,x
50,53,39,z
84,87,34,y
9,8,76,x
89,87,44,z
21,41,27,x
33,75,79,z
91,18,1,x
82,35,94,y
5,75,82,x
63,37,78,y
17,37,56,x
45,59,25,y
89,90,46,y
75,22,34,y
71,33,91,y
3,81,26,x
72,98,61,z
64,70,43,z
65,92,28,x
94,66,14,y
64,63,23,x
11,71,93,x
8,85,94,y
94,6,31,x
50,10,26,y
22,79,26,x
81,56,67,z
92,42,71,z
21,83,66,z
8,31,40,x
59,69,16,z
42,88,42,y
8,87,15,y
58,20,13,x
77,87,24,z
38,62,59,z
3,30,19,z
14,80,85,x
44,66,96,y
24,18,92,x
2,58,66,z
28,4,27,y
36,35,17,z
74,81,50,z
97,69,72,x
35,14,57,y
12,27,80,x
55,67,28,x
89,41,33,y
23,68,79,y
26,46,5,x
51,57,6,x
49,11,79,z
85,53,55,y
22,74,29,y
64,44,97,x
82,58,47,y
46,47,71,z
38,38,33,y
75,70,54,z
18,8,22,z
56,65,77,y
11,68,70,z
18,47,70,y
91,34,79,y
96,78,11,z
73,80,39,z
10,1,5,z
23,72,18,x
22,97,73,x
41,44,87,y
24,40,18,y
12,78,28,y
78,17,68,x
41,58,19,y
30,7,56,x
15,47,34,y
82,46,32,y
23,36,18,x
17,67,70,x
59,18,22,z
46,61,9,y
68,16,90,x
17,12,29,y
40,79,29,x
69,15,1,z
5,15,14,z
32,94,97,y
10,55,23,y
16,43,58,x
29,58,21,y
72,76,6,y
26,12,59,x
19,41,45,y
74,46,64,y
67,5,16,y
30,45,12,z
80,87,78,x
1,94,89,z
87,91,95,z
56,21,6,z
20,87,88,y
24,79,45,x
95,46,75,y
50,98,47,z
40,92,63,z
25,92,38,x
87,30,57,z
4,57,41,y
88,23,66,y
71,75,11,x
64,68,38,x
5,20,97,y
63,86,99,z
73,25,32,z
94,86,13,y
65,7,34,x
12,58,21,y
96,88,41,z
63,32,71,z
70,61,91,z
40,80,62,z
82,98,15,z
23,48,57,x
16,79,28,x
25,63,39,z
82,49,24,x
80,17,88,x
59,32,24,y
86,83,30,z
93,98,35,z
85,89,21,x
57,73,30,y
84,52,98,y
78,25,54,y
92,33,8,z
40,83,45,y
9,26,76,z
29,39,50,z
74,52,77,y
75,89,64,x
45,32,17,x
14,87,29,x
51,76,38,z
94,69,32,z
12,11,10,x
12,53,11,x
37,38,62,x
79,88,28,x
37,38,66,x
8,34,25,z
13,39,2,z
69,29,4,z
54,93,98,z
17,62,11,x
53,94,8,z
28,21,46,z
4,55,82,z
15,5,91,z
24,87,37,y
11,54,91,x
63,20,31,x
17,60,15,z
54,63,83,x
20,61,12,x
12,82,15,y
35,57,45,y
10,27,19,y
99,88,54,y
9,25,5,y
27,15,73,x
19,50,5,y
66,31,61,x
21,24,4,y
72,26,56,x
55,73,66,z
80,89,43,z
3,24,3,x
63,55,18,z
93,42,84,y
86,88,57,x
79,84,25,y
14,7,3,z
39,92,57,y
56,13,71,z
42,89,40,x
49,27,36,y
89,20,11,x
78,36,54,x
18,7,76,y
53,97,87,y
34,89,42,x
3,14,79,z
86,38,95,z
41,55,74,x
8,25,84,x
76,44,60,z
87,40,60,x
44,96,32,x
15,32,3,y
93,68,83,z
88,62,97,z
52,38,56,y
87,50,88,y
86,70,27,z
59,4,99,z
84,26,81,z
21,13,57,x
99,73,84,x
53,16,12,y
20,94,32,z
67,19,52,x
69,80,5,y
48,96,92,x
80,44,50,x
20,78,43,y
60,75,8,y
64,98,79,x
36,60,85,y
20,75,42,y
90,58,47,y
29,70,49,z
32,45,96,z
48,79,31,x
95,58,76,y
29,10,55,x
49,32,42,x
31,85,38,y
33,49,72,z
24,91,40,x
98,1,29,z
76,39,22,x
65,13,68,x
16,12,28,z
97,47,83,z
67,65,27,x
47,9,25,y
53,31,43,y
33,73,8,y
49,63,70,z
60,38,92,y
72,91,18,z
32,29,39,y
10,78,8,z
6,47,82,x
89,34,17,y
93,67,40,z
18,89,28,z
27,56,12,y
87,30,93,x
10,64,29,z
10,92,94,z
70,52,36,z
61,9,30,y
87,5,40,x
16,87,4,x
61,96,68,x
14,82,17,x
98,32,45,z
30,30,56,z
84,51,85,y
36,18,5,x
9,32,74,y
57,98,24,y
50,27,59,z
96,69,46,x
74,77,95,x
58,96,73,y
38,26,88,x
7,15,29,x
3,45,44,x
89,82,87,x
16,86,10,z
48,6,8,x
52,30,49,y
14,37,58,y
26,52,38,y
82,2,61,x
44,8,96,z
11,22,83,x
31,68,93,x
44,16,22,x
97,15,87,y
26,42,10,y
15,42,87,x
31,22,29,z
24,17,50,z
64,62,34,z
55,38,40,y
40,50,16,y
29,15,3,y
11,88,53,z
89,97,30,z
28,48,34,x
47,98,53,z
4,87,59,z
51,51,56,y
86,97,81,x
98,78,26,x
97,68,39,x
6,46,76,y
14,29,30,z
24,57,56,y
81,50,74,z
4,58,29,x
16,83,47,z
74,54,21,y
57,76,8,y
66,93,87,z
82,85,29,z
34,84,98,y
54,59,12,z
81,44,11,y
33,21,35,z
2,36,15,z
11,69,75,x
96,84,42,y
75,33,67,y
14,61,54,x
96,85,54,y
92,66,53,x
11,52,31,y
62,69,82,x
68,63,63,z
80,84,44,x
69,1,61,x
4,7,12,x
88,42,77,x
99,86,64,y
